part,comparison,expected,encoder,group,objective,representation,test,n,repeats,im_size,detect,detect_lo,detect_hi,effect_mean,effect_sd
primary,cifar10-vs-cifar100,reject,entropy-2-ssim-64d,natural,ssim,64d,C2ST,1000,200,256,0.84,0.7828581380609876,0.8843265779145542,0.54247,0.016341025059646647
primary,cifar10-vs-cifar100,reject,entropy-2-nlpd-64d,natural,nlpd,64d,C2ST,1000,200,256,0.88,0.8276563857409517,0.9180206497611246,0.5450200000000001,0.0169873364598456
primary,cifar10-vs-cifar100,reject,entropy-2-mse-u-64d,noise,mse,64d,C2ST,1000,200,256,0.665,0.5970206277343806,0.7267601903125736,0.534485,0.016745141832782428
primary,cifar10-vs-cifar100,reject,entropy-2-ssim-u-64d,noise,ssim,64d,C2ST,1000,200,256,0.75,0.6856577652038048,0.8049192318370347,0.538745,0.01763263947910238
primary,cifar10-vs-cifar100,reject,entropy-2-nlpd-u-64d,noise,nlpd,64d,C2ST,1000,200,256,0.595,0.5257958199999483,0.6606234388755706,0.53131,0.016505268855732107
primary,cifar10-vs-cifar100,reject,entropy-2-random-s0-64d,random,none,64d,C2ST,1000,200,256,1.0,0.9811539940816791,1.0,0.5858099999999999,0.018181141328310488
primary,cifar10-vs-cifar100,reject,entropy-2-random-s1-64d,random,none,64d,C2ST,1000,200,256,1.0,0.9811539940816791,1.0,0.573835,0.016354136326935744
primary,cifar10-vs-cifar100,reject,entropy-2-random-s2-64d,random,none,64d,C2ST,1000,200,256,0.99,0.9642775148038205,0.9972533993962251,0.56502,0.016028711738627
primary,cifar10-vs-cifar100,reject,jpeg_bytes,reference,reference,scalar,KS,1000,200,256,0.205,0.15486094831106376,0.26625819518074556,0.049315000000000005,0.012279078752088855
primary,cifar-vs-oneclass,reject,entropy-2-mse-64d,natural,mse,64d,C2ST,250,200,256,1.0,0.9811539940816791,1.0,0.6738599999999999,0.03165028277914747
primary,cifar-vs-oneclass,reject,entropy-2-ssim-64d,natural,ssim,64d,C2ST,250,200,256,1.0,0.9811539940816791,1.0,0.6565000000000001,0.031189581593859185
primary,cifar-vs-oneclass,reject,entropy-2-nlpd-64d,natural,nlpd,64d,C2ST,250,200,256,1.0,0.9811539940816791,1.0,0.66222,0.032307763772814725
primary,cifar-vs-oneclass,reject,entropy-2-mse-u-64d,noise,mse,64d,C2ST,250,200,256,0.995,0.9722256001302286,0.999116854010634,0.6407599999999999,0.03417926857028981
primary,cifar-vs-oneclass,reject,entropy-2-ssim-u-64d,noise,ssim,64d,C2ST,250,200,256,0.995,0.9722256001302286,0.999116854010634,0.6385199999999999,0.030748814611298445
primary,cifar-vs-oneclass,reject,entropy-2-nlpd-u-64d,noise,nlpd,64d,C2ST,250,200,256,0.995,0.9722256001302286,0.999116854010634,0.63794,0.03340413746828379
primary,cifar-vs-oneclass,reject,entropy-2-random-s0-64d,random,none,64d,C2ST,250,200,256,1.0,0.9811539940816791,1.0,0.7105199999999999,0.03231670775311123
primary,cifar-vs-oneclass,reject,entropy-2-random-s1-64d,random,none,64d,C2ST,250,200,256,1.0,0.9811539940816791,1.0,0.69012,0.03103780920103735
primary,cifar-vs-oneclass,reject,entropy-2-random-s2-64d,random,none,64d,C2ST,250,200,256,1.0,0.9811539940816791,1.0,0.67374,0.03160146199149652
primary,cifar-vs-oneclass,reject,jpeg_bytes,reference,reference,scalar,KS,250,200,256,1.0,0.9811539940816791,1.0,0.27292,0.03970634206269825
primary,cifar-vs-oneclass,reject,entropy-2-mse-64d,natural,mse,64d,C2ST,500,200,256,1.0,0.9811539940816791,1.0,0.6926200000000001,0.021300131454993397
primary,cifar-vs-oneclass,reject,entropy-2-ssim-64d,natural,ssim,64d,C2ST,500,200,256,1.0,0.9811539940816791,1.0,0.6753899999999998,0.0207443462177047
primary,cifar-vs-oneclass,reject,entropy-2-nlpd-64d,natural,nlpd,64d,C2ST,500,200,256,1.0,0.9811539940816791,1.0,0.6781100000000001,0.021767128887384277
primary,cifar-vs-oneclass,reject,entropy-2-mse-u-64d,noise,mse,64d,C2ST,500,200,256,1.0,0.9811539940816791,1.0,0.65904,0.021011387388747083
primary,cifar-vs-oneclass,reject,entropy-2-ssim-u-64d,noise,ssim,64d,C2ST,500,200,256,1.0,0.9811539940816791,1.0,0.65881,0.023467507323957523
primary,cifar-vs-oneclass,reject,entropy-2-nlpd-u-64d,noise,nlpd,64d,C2ST,500,200,256,1.0,0.9811539940816791,1.0,0.65416,0.02081380311235792
primary,cifar-vs-oneclass,reject,entropy-2-random-s0-64d,random,none,64d,C2ST,500,200,256,1.0,0.9811539940816791,1.0,0.7366499999999999,0.017654390388795658
primary,cifar-vs-oneclass,reject,entropy-2-random-s1-64d,random,none,64d,C2ST,500,200,256,1.0,0.9811539940816791,1.0,0.71164,0.019398721607363723
primary,cifar-vs-oneclass,reject,entropy-2-random-s2-64d,random,none,64d,C2ST,500,200,256,1.0,0.9811539940816791,1.0,0.69926,0.020511762479124004
primary,cifar-vs-oneclass,reject,jpeg_bytes,reference,reference,scalar,KS,500,200,256,1.0,0.9811539940816791,1.0,0.25725000000000003,0.02575844521705454
primary,cifar-vs-oneclass,reject,entropy-2-mse-64d,natural,mse,64d,C2ST,1000,200,256,1.0,0.9811539940816791,1.0,0.703245,0.013590620846745734
primary,cifar-vs-oneclass,reject,entropy-2-ssim-64d,natural,ssim,64d,C2ST,1000,200,256,1.0,0.9811539940816791,1.0,0.68669,0.014145101625651161
primary,cifar-vs-oneclass,reject,entropy-2-nlpd-64d,natural,nlpd,64d,C2ST,1000,200,256,1.0,0.9811539940816791,1.0,0.68953,0.01393840378235611
primary,cifar-vs-oneclass,reject,entropy-2-mse-u-64d,noise,mse,64d,C2ST,1000,200,256,1.0,0.9811539940816791,1.0,0.6661850000000001,0.01636798017471917
primary,cifar-vs-oneclass,reject,entropy-2-ssim-u-64d,noise,ssim,64d,C2ST,1000,200,256,1.0,0.9811539940816791,1.0,0.67364,0.014733648563746848
primary,cifar-vs-oneclass,reject,entropy-2-nlpd-u-64d,noise,nlpd,64d,C2ST,1000,200,256,1.0,0.9811539940816791,1.0,0.66687,0.014015102568301093
primary,cifar-vs-oneclass,reject,entropy-2-random-s0-64d,random,none,64d,C2ST,1000,200,256,1.0,0.9811539940816791,1.0,0.7500200000000001,0.014705087554992672
primary,cifar-vs-oneclass,reject,entropy-2-random-s1-64d,random,none,64d,C2ST,1000,200,256,1.0,0.9811539940816791,1.0,0.72525,0.014568716484302942
primary,cifar-vs-oneclass,reject,entropy-2-random-s2-64d,random,none,64d,C2ST,1000,200,256,1.0,0.9811539940816791,1.0,0.7128950000000001,0.015620306495072366
primary,cifar-vs-oneclass,reject,jpeg_bytes,reference,reference,scalar,KS,1000,200,256,1.0,0.9811539940816791,1.0,0.254205,0.018704891739863134
classdrop,cifar-k9-of-10,reject,entropy-2-mse-64d,natural,mse,64d,C2ST,2000,500,256,0.152,0.12319191165756974,0.186114822839939,0.5064580000000001,0.011618701992907815
classdrop,cifar-k9-of-10,reject,entropy-2-ssim-64d,natural,ssim,64d,C2ST,2000,500,256,0.14,0.11232220101564047,0.17316752432660995,0.506866,0.010934808823203085
classdrop,cifar-k9-of-10,reject,entropy-2-nlpd-64d,natural,nlpd,64d,C2ST,2000,500,256,0.204,0.17099770962966332,0.24151606454063146,0.50815,0.012211203871854733
classdrop,cifar-k9-of-10,reject,entropy-2-mse-u-64d,noise,mse,64d,C2ST,2000,500,256,0.138,0.11051755348949738,0.17100267032687666,0.505627,0.011737519797640386
classdrop,cifar-k9-of-10,reject,entropy-2-ssim-u-64d,noise,ssim,64d,C2ST,2000,500,256,0.158,0.1286522063728175,0.1925630327023204,0.506527,0.011900158444323338
classdrop,cifar-k9-of-10,reject,entropy-2-nlpd-u-64d,noise,nlpd,64d,C2ST,2000,500,256,0.154,0.12501019573842537,0.18826604028495975,0.506269,0.011796912265504054
classdrop,cifar-k9-of-10,reject,entropy-2-random-s0-64d,random,none,64d,C2ST,2000,500,256,0.208,0.17471574281917435,0.2457370344028732,0.50902,0.012221931107644165
classdrop,cifar-k9-of-10,reject,entropy-2-random-s1-64d,random,none,64d,C2ST,2000,500,256,0.18,0.14880438031986262,0.21607537553991554,0.507654,0.011548215619739703
classdrop,cifar-k9-of-10,reject,entropy-2-random-s2-64d,random,none,64d,C2ST,2000,500,256,0.182,0.15064591449727432,0.21820334288838023,0.5081450000000001,0.01188303307241043
classdrop,cifar-k9-of-10,reject,entropy-2-mse-64d,natural,mse,scalar,KS,2000,500,256,0.074,0.05416087387750307,0.10033530111082659,0.027934,0.009059284960746074
classdrop,cifar-k9-of-10,reject,entropy-2-ssim-64d,natural,ssim,scalar,KS,2000,500,256,0.164,0.13412841862886243,0.19899532502390466,0.032018,0.010514117937325984
classdrop,cifar-k9-of-10,reject,entropy-2-nlpd-64d,natural,nlpd,scalar,KS,2000,500,256,0.25,0.21404787416427032,0.28976443510118144,0.034614000000000006,0.012185934678964925
classdrop,cifar-k9-of-10,reject,entropy-2-mse-u-64d,noise,mse,scalar,KS,2000,500,256,0.08,0.05929780247392154,0.1071068770920373,0.028465000000000004,0.00896940772849579
classdrop,cifar-k9-of-10,reject,entropy-2-ssim-u-64d,noise,ssim,scalar,KS,2000,500,256,0.53,0.4861897883462646,0.5733527345418813,0.043772,0.013915890772782028
classdrop,cifar-k9-of-10,reject,entropy-2-nlpd-u-64d,noise,nlpd,scalar,KS,2000,500,256,0.362,0.32107531661676714,0.4050290780977621,0.038948,0.013417276027569829
classdrop,cifar-k9-of-10,reject,entropy-2-random-s0-64d,random,none,scalar,KS,2000,500,256,0.354,0.31334158354314207,0.39688480506788165,0.038403999999999994,0.01308968234908701
classdrop,cifar-k9-of-10,reject,entropy-2-random-s1-64d,random,none,scalar,KS,2000,500,256,0.072,0.05245772605354006,0.09806894740891321,0.027698,0.009402861053955866
classdrop,cifar-k9-of-10,reject,entropy-2-random-s2-64d,random,none,scalar,KS,2000,500,256,0.322,0.28253539670832967,0.3641789674886719,0.03734900000000001,0.014920445670287467
classdrop,cifar-k9-of-10,reject,jpeg_bytes,reference,reference,scalar,KS,2000,500,256,0.308,0.26912506489055776,0.3498027886253091,0.037173000000000005,0.013940429369284146
scalar,cifar10-vs-cifar100,reject,entropy-2-mse-64d,natural,mse,scalar,KS,4000,100,256,0.98,0.9299868370580063,0.9944981477650318,0.0476875,0.008078163080181038
scalar,cifar10-vs-cifar100,reject,entropy-2-ssim-64d,natural,ssim,scalar,KS,4000,100,256,0.99,0.9455124752390653,0.9982326134344526,0.053954999999999996,0.008052824038807752
scalar,cifar10-vs-cifar100,reject,entropy-2-nlpd-64d,natural,nlpd,scalar,KS,4000,100,256,0.99,0.9455124752390653,0.9982326134344526,0.0532125,0.009250430733214536
scalar,cifar10-vs-cifar100,reject,entropy-2-mse-u-64d,noise,mse,scalar,KS,4000,100,256,0.99,0.9455124752390653,0.9982326134344526,0.045525,0.006450532923720335
scalar,cifar10-vs-cifar100,reject,entropy-2-ssim-u-64d,noise,ssim,scalar,KS,4000,100,256,0.71,0.6146092505999207,0.7898529302601586,0.0358175,0.008100065971953563
scalar,cifar10-vs-cifar100,reject,entropy-2-nlpd-u-64d,noise,nlpd,scalar,KS,4000,100,256,0.35,0.2636410465347802,0.4474573957080203,0.027462499999999997,0.007505945560021069
scalar,cifar10-vs-cifar100,reject,entropy-2-random-s0-64d,random,none,scalar,KS,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.0775025,0.009982703479018095
scalar,cifar10-vs-cifar100,reject,entropy-2-random-s1-64d,random,none,scalar,KS,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.0661125,0.009708589946537035
scalar,cifar10-vs-cifar100,reject,entropy-2-random-s2-64d,random,none,scalar,KS,4000,100,256,1.0,0.9630051925239981,0.9999999999999999,0.0670825,0.008038971871452218
scalar,cifar10-vs-cifar100,reject,jpeg_bytes,reference,reference,scalar,KS,4000,100,256,0.9,0.8256326956323347,0.9447714583868639,0.0361475,0.005656422787416089
