part,comparison,rung,rung_name,member,scorer,im_size,subset,test,n,k_classes,repeats,detect,detect_lo,detect_hi,effect_mean,effect_sd
primary,cifar10-vs-cifar100,4,natural AE mse-2 (occupancy),mse,entropy-2-mse-64d,256,-1,C2ST,250,,200,0.23,0.1770925624139232,0.2930842807819702,0.5329200000000001,0.03229045679453915
primary,cifar10-vs-cifar100,4,natural AE mse-2 (occupancy),mse,entropy-2-mse-64d,256,-1,C2ST,500,,200,0.54,0.4708216309361468,0.6076706885903875,0.54133,0.02147768842310549
primary,cifar10-vs-cifar100,4,natural AE mse-2 (occupancy),mse,entropy-2-mse-64d,256,-1,C2ST,1000,,200,0.89,0.8390720169908702,0.9262280983928396,0.5475500000000001,0.016434034805853356
primary,cifar10-vs-cifar100,4q,natural AE mse-2 (activation),mse,entropy-2-mse-act64d,256,-1,C2ST,100,,200,0.14,0.09866918625271481,0.19489993800847627,0.52845,0.04830214798536396
primary,cifar10-vs-cifar100,4q,natural AE mse-2 (activation),mse,entropy-2-mse-act64d,256,-1,C2ST,250,,200,0.29,0.2315392689125782,0.3563760535731166,0.53848,0.029552827275913882
primary,cifar10-vs-cifar100,4q,natural AE mse-2 (activation),mse,entropy-2-mse-act64d,256,-1,C2ST,500,,200,0.655,0.5867546071792236,0.7174031309860971,0.54278,0.021571082494858704
primary,cifar10-vs-cifar100,4q,natural AE mse-2 (activation),mse,entropy-2-mse-act64d,256,-1,C2ST,1000,,200,0.97,0.9361048802675267,0.9861798741692518,0.55274,0.015499109651847726
primary,cifar10-vs-cifar100,5,untrained ResNet-18 (512),s0,resnet18-random-s0,224,-1,C2ST,100,,200,0.105,0.0697069624619373,0.15518138221353622,0.52715,0.04855283204922242
primary,cifar10-vs-cifar100,5,untrained ResNet-18 (512),s0,resnet18-random-s0,224,-1,C2ST,250,,200,0.435,0.368156071588974,0.5042939091804078,0.5484399999999999,0.031155840543949362
primary,cifar10-vs-cifar100,5,untrained ResNet-18 (512),s0,resnet18-random-s0,224,-1,C2ST,500,,200,0.8,0.7391436038882958,0.8495487925607118,0.55631,0.023888153968023542
primary,cifar10-vs-cifar100,5,untrained ResNet-18 (512),s0,resnet18-random-s0,224,-1,C2ST,1000,,200,0.995,0.9722256001302286,0.999116854010634,0.565615,0.017184783239831657
primary,cifar10-vs-cifar100,5,untrained ResNet-18 (512),s1,resnet18-random-s1,224,-1,C2ST,100,,200,0.18,0.13294550662534108,0.2391159371623843,0.53925,0.050546389584222536
primary,cifar10-vs-cifar100,5,untrained ResNet-18 (512),s1,resnet18-random-s1,224,-1,C2ST,250,,200,0.43,0.36334204488394795,0.49929639594461706,0.54672,0.03312463735650549
primary,cifar10-vs-cifar100,5,untrained ResNet-18 (512),s1,resnet18-random-s1,224,-1,C2ST,500,,200,0.76,0.69626534544272,0.8139347314797533,0.55559,0.024182884443341306
primary,cifar10-vs-cifar100,5,untrained ResNet-18 (512),s1,resnet18-random-s1,224,-1,C2ST,1000,,200,0.98,0.9497121344948062,0.9921956998236058,0.567355,0.01766802125310016
primary,cifar10-vs-cifar100,5,untrained ResNet-18 (512),s2,resnet18-random-s2,224,-1,C2ST,100,,200,0.13,0.09028141365225628,0.18366463072730121,0.5305,0.04800781186432058
primary,cifar10-vs-cifar100,5,untrained ResNet-18 (512),s2,resnet18-random-s2,224,-1,C2ST,250,,200,0.415,0.3489416917324964,0.48426212927361817,0.54436,0.035318414460448234
primary,cifar10-vs-cifar100,5,untrained ResNet-18 (512),s2,resnet18-random-s2,224,-1,C2ST,500,,200,0.72,0.6540756858222899,0.7776320715736488,0.55233,0.02577190524582921
primary,cifar10-vs-cifar100,5,untrained ResNet-18 (512),s2,resnet18-random-s2,224,-1,C2ST,1000,,200,0.985,0.9568335194437211,0.9948858548155076,0.56722,0.01648458674034624
primary,cifar10-vs-cifar100,5m,untrained ResNet-18 (64 ch),s0,resnet18-random-s0,224,0,C2ST,100,,200,0.17,0.12427835351105657,0.22816001039503528,0.53215,0.055126014729889546
primary,cifar10-vs-cifar100,5m,untrained ResNet-18 (64 ch),s0,resnet18-random-s0,224,0,C2ST,250,,200,0.355,0.29198518653239286,0.4234801551839203,0.5428400000000001,0.03270618290170835
primary,cifar10-vs-cifar100,5m,untrained ResNet-18 (64 ch),s0,resnet18-random-s0,224,0,C2ST,500,,200,0.835,0.7773410172613647,0.8800321587733603,0.55889,0.02134544213643744
primary,cifar10-vs-cifar100,5m,untrained ResNet-18 (64 ch),s0,resnet18-random-s0,224,0,C2ST,1000,,200,0.985,0.9568335194437211,0.9948858548155076,0.56971,0.017270376371115923
primary,cifar10-vs-cifar100,5m,untrained ResNet-18 (64 ch),s1,resnet18-random-s1,224,1,C2ST,100,,200,0.165,0.11996784122663977,0.22265898273863527,0.5348,0.04920325192505064
primary,cifar10-vs-cifar100,5m,untrained ResNet-18 (64 ch),s1,resnet18-random-s1,224,1,C2ST,250,,200,0.385,0.3203319691791383,0.4540026121820756,0.54704,0.03204556755621593
primary,cifar10-vs-cifar100,5m,untrained ResNet-18 (64 ch),s1,resnet18-random-s1,224,1,C2ST,500,,200,0.89,0.8390720169908702,0.9262280983928396,0.56729,0.02473289105624328
primary,cifar10-vs-cifar100,5m,untrained ResNet-18 (64 ch),s1,resnet18-random-s1,224,1,C2ST,1000,,200,1.0,0.9811539940816791,1.0,0.58289,0.017276802366178755
primary,cifar10-vs-cifar100,5m,untrained ResNet-18 (64 ch),s2,resnet18-random-s2,224,2,C2ST,100,,200,0.14,0.09866918625271481,0.19489993800847627,0.5299,0.053637580109471755
primary,cifar10-vs-cifar100,5m,untrained ResNet-18 (64 ch),s2,resnet18-random-s2,224,2,C2ST,250,,200,0.395,0.3298398699878317,0.4641177912550158,0.54496,0.031231368846081648
primary,cifar10-vs-cifar100,5m,untrained ResNet-18 (64 ch),s2,resnet18-random-s2,224,2,C2ST,500,,200,0.8,0.7391436038882958,0.8495487925607118,0.55718,0.02252748543446425
primary,cifar10-vs-cifar100,5m,untrained ResNet-18 (64 ch),s2,resnet18-random-s2,224,2,C2ST,1000,,200,0.985,0.9568335194437211,0.9948858548155076,0.56776,0.01736440036396302
primary,cifar10-vs-cifar100,6,ImageNet ResNet-18 (512),imagenet,resnet18-imagenet,224,-1,C2ST,100,,200,0.885,0.8333517476611362,0.9221368277817569,0.6513499999999999,0.05426488275118633
primary,cifar10-vs-cifar100,6,ImageNet ResNet-18 (512),imagenet,resnet18-imagenet,224,-1,C2ST,250,,200,0.995,0.9722256001302286,0.999116854010634,0.6766,0.032312845742831116
primary,cifar10-vs-cifar100,6,ImageNet ResNet-18 (512),imagenet,resnet18-imagenet,224,-1,C2ST,500,,200,1.0,0.9811539940816791,1.0,0.6885300000000001,0.022786379703673833
primary,cifar10-vs-cifar100,6,ImageNet ResNet-18 (512),imagenet,resnet18-imagenet,224,-1,C2ST,1000,,200,1.0,0.9811539940816791,1.0,0.69501,0.016930147666219544
primary,cifar10-vs-cifar100,6m,ImageNet ResNet-18 (64 ch),sub0,resnet18-imagenet,224,0,C2ST,100,,200,0.53,0.46091557335361155,0.5979536662912893,0.5902000000000001,0.05282953719274852
primary,cifar10-vs-cifar100,6m,ImageNet ResNet-18 (64 ch),sub0,resnet18-imagenet,224,0,C2ST,250,,200,0.985,0.9568335194437211,0.9948858548155076,0.62286,0.033481642731502906
primary,cifar10-vs-cifar100,6m,ImageNet ResNet-18 (64 ch),sub0,resnet18-imagenet,224,0,C2ST,500,,200,1.0,0.9811539940816791,1.0,0.64418,0.024405892731059853
primary,cifar10-vs-cifar100,6m,ImageNet ResNet-18 (64 ch),sub0,resnet18-imagenet,224,0,C2ST,1000,,200,1.0,0.9811539940816791,1.0,0.6645500000000001,0.015906838152191027
primary,cifar10-vs-cifar100,6m,ImageNet ResNet-18 (64 ch),sub1,resnet18-imagenet,224,1,C2ST,100,,200,0.485,0.4166726249238525,0.5538927552536972,0.58395,0.05548781397748518
primary,cifar10-vs-cifar100,6m,ImageNet ResNet-18 (64 ch),sub1,resnet18-imagenet,224,1,C2ST,250,,200,0.96,0.9230670617058012,0.9795946128493436,0.6250399999999999,0.03449577365417394
primary,cifar10-vs-cifar100,6m,ImageNet ResNet-18 (64 ch),sub1,resnet18-imagenet,224,1,C2ST,500,,200,1.0,0.9811539940816791,1.0,0.65203,0.024164831884372802
primary,cifar10-vs-cifar100,6m,ImageNet ResNet-18 (64 ch),sub1,resnet18-imagenet,224,1,C2ST,1000,,200,1.0,0.9811539940816791,1.0,0.6731149999999999,0.015530672071742403
primary,cifar10-vs-cifar100,6m,ImageNet ResNet-18 (64 ch),sub2,resnet18-imagenet,224,2,C2ST,100,,200,0.61,0.5409361758928832,0.6749177028050861,0.59805,0.05625564416127504
primary,cifar10-vs-cifar100,6m,ImageNet ResNet-18 (64 ch),sub2,resnet18-imagenet,224,2,C2ST,250,,200,0.995,0.9722256001302286,0.999116854010634,0.6381,0.029445373150972304
primary,cifar10-vs-cifar100,6m,ImageNet ResNet-18 (64 ch),sub2,resnet18-imagenet,224,2,C2ST,500,,200,1.0,0.9811539940816791,1.0,0.6633000000000001,0.021159158773448435
primary,cifar10-vs-cifar100,6m,ImageNet ResNet-18 (64 ch),sub2,resnet18-imagenet,224,2,C2ST,1000,,200,1.0,0.9811539940816791,1.0,0.6847399999999999,0.01545711486662369
