scorer,contaminant,n,fraction,n_contaminating,repeats,im_size,detect,detect_lo,detect_hi,KS_mean
entropy-2-mse,cifar100,2000,0.0,0,500,256,0.038,0.024459922123289107,0.0585852253992656,0.026488000000000005
entropy-2-mse,cifar100,2000,0.005,10,500,256,0.062,0.04401893261361028,0.08666023321946106,0.026951
entropy-2-mse,cifar100,2000,0.01,20,500,256,0.04,0.026040593951356387,0.06097405509707471,0.026518
entropy-2-mse,cifar100,2000,0.02,40,500,256,0.058,0.040683464783922846,0.08205669799739573,0.027414
entropy-2-mse,cifar100,2000,0.05,100,500,256,0.05,0.03409350665098192,0.07276865002683111,0.026422000000000005
entropy-2-mse,cifar100,2000,0.1,200,500,256,0.034,0.02133433944461342,0.053771805026188516,0.026163
entropy-2-mse,cifar100,2000,0.2,400,500,256,0.026,0.0152562373229252,0.04397190104437119,0.026106999999999998
entropy-2-mse,cifar100,2000,0.5,1000,500,256,0.156,0.12683030337229503,0.19041543417696646,0.03208500000000001
entropy-2-mse,cifar100,2000,1.0,2000,500,256,0.698,0.6563715243917267,0.7366091266700354,0.048820999999999996
entropy-2-mse,cifar100,4000,0.0,0,500,256,0.038,0.024459922123289107,0.0585852253992656,0.018837500000000004
entropy-2-mse,cifar100,4000,0.005,20,500,256,0.048,0.03246497509125218,0.07042768006068446,0.018701
entropy-2-mse,cifar100,4000,0.01,40,500,256,0.032,0.01979134135128301,0.05134530159364255,0.019107500000000003
entropy-2-mse,cifar100,4000,0.02,80,500,256,0.044,0.029233737680341678,0.06571991441984218,0.019458
entropy-2-mse,cifar100,4000,0.05,200,500,256,0.048,0.03246497509125218,0.07042768006068446,0.0192615
entropy-2-mse,cifar100,4000,0.1,400,500,256,0.04,0.026040593951356387,0.06097405509707471,0.018330000000000003
entropy-2-mse,cifar100,4000,0.2,800,500,256,0.024,0.013781177149521824,0.04147745969189818,0.018372
entropy-2-mse,cifar100,4000,0.5,2000,500,256,0.296,0.2576647234385832,0.33744612092202536,0.0265025
entropy-2-mse,cifar100,4000,1.0,4000,500,256,0.966,0.9462281949738114,0.9786656605553865,0.04408
jpeg_bytes,uniform,100,0.0,0,500,256,0.044,0.029233737680341678,0.06571991441984218,0.11742000000000001
jpeg_bytes,uniform,100,0.005,0,500,256,0.046,0.030844883399787512,0.06807827022627275,0.11936000000000001
jpeg_bytes,uniform,100,0.01,1,500,256,0.04,0.026040593951356387,0.06097405509707471,0.11912
jpeg_bytes,uniform,100,0.02,2,500,256,0.04,0.026040593951356387,0.06097405509707471,0.11818000000000001
jpeg_bytes,uniform,100,0.05,5,500,256,0.072,0.05245772605354006,0.09806894740891321,0.12526
jpeg_bytes,uniform,100,0.1,10,500,256,0.114,0.08903649378821105,0.14484971171764635,0.14732
jpeg_bytes,uniform,100,0.2,20,500,256,1.0,0.9923753814690964,0.9999999999999999,0.2277
jpeg_bytes,uniform,100,0.5,50,500,256,1.0,0.9923753814690964,0.9999999999999999,0.5092199999999999
jpeg_bytes,uniform,100,1.0,100,500,256,1.0,0.9923753814690964,0.9999999999999999,1.0
jpeg_bytes,uniform,250,0.0,0,500,256,0.066,0.04737823802541255,0.09123993085941157,0.076584
jpeg_bytes,uniform,250,0.005,1,500,256,0.034,0.02133433944461342,0.053771805026188516,0.07560800000000001
jpeg_bytes,uniform,250,0.01,2,500,256,0.042,0.027632099334746148,0.06335205123956134,0.074128
jpeg_bytes,uniform,250,0.02,5,500,256,0.048,0.03246497509125218,0.07042768006068446,0.077656
jpeg_bytes,uniform,250,0.05,12,500,256,0.098,0.07492354740061163,0.1272066458982347,0.086928
jpeg_bytes,uniform,250,0.1,25,500,256,0.442,0.39907517838464235,0.4858092773649425,0.12332000000000003
jpeg_bytes,uniform,250,0.2,50,500,256,1.0,0.9923753814690964,0.9999999999999999,0.21277600000000008
jpeg_bytes,uniform,250,0.5,125,500,256,1.0,0.9923753814690964,0.9999999999999999,0.503232
