comparison,expected,representation,dims,test,n,repeats,im_size,detect,detect_lo,detect_hi,effect_mean,effect_sd
cifar-vs-dtd,reject,AE-64d,64,C2ST,500,200,256,1.0,0.9811539940816791,1.0,0.8428299999999999,0.017704550262573747
cifar-vs-dtd,reject,jpeg-scalar,1,KS,500,200,256,1.0,0.9811539940816791,1.0,0.9595699999999999,0.00818505345126103
cifar-vs-dtd,reject,jpeg-scalar,1,C2ST,500,200,256,1.0,0.9811539940816791,1.0,0.97015,0.007413332583932822
cifar-vs-dtd,reject,AE-scalar,1,KS,1000,200,256,0.3,0.24074644243406385,0.3667919599332645,0.05452,0.012124751543846167
cifar-vs-dtd,reject,AE-scalar,1,C2ST,1000,200,256,0.125,0.0861191515921568,0.1780153528465839,0.507745,0.016109313300075843
cifar-vs-dtd,reject,AE-64d,64,C2ST,1000,200,256,1.0,0.9811539940816791,1.0,0.8533449999999999,0.012435271408377071
cifar-vs-dtd,reject,jpeg-scalar,1,KS,1000,200,256,1.0,0.9811539940816791,1.0,0.9588199999999999,0.005512494897956827
cifar-vs-dtd,reject,jpeg-scalar,1,C2ST,1000,200,256,1.0,0.9811539940816791,1.0,0.97245,0.004971669739634768
cifar-vs-oneclass,reject,AE-scalar,1,KS,250,200,256,0.915,0.8681031145576462,0.9462547005301477,0.17269999999999996,0.0394673282602205
cifar-vs-oneclass,reject,AE-scalar,1,C2ST,250,200,256,0.66,0.5918836703220929,0.7220856077840445,0.56758,0.03314307770862566
cifar-vs-oneclass,reject,AE-64d,64,C2ST,250,200,256,1.0,0.9811539940816791,1.0,0.6779599999999999,0.02707024935237943
cifar-vs-oneclass,reject,jpeg-scalar,1,KS,250,200,256,1.0,0.9811539940816791,1.0,0.27188,0.038209757916008835
cifar-vs-oneclass,reject,jpeg-scalar,1,C2ST,250,200,256,0.985,0.9568335194437211,0.9948858548155076,0.61354,0.029305774175066614
cifar-vs-oneclass,reject,AE-scalar,1,KS,500,200,256,1.0,0.9811539940816791,1.0,0.15832999999999997,0.024777229465781682
cifar-vs-oneclass,reject,AE-scalar,1,C2ST,500,200,256,0.955,0.9167024063390322,0.9761477282752958,0.5700400000000001,0.019045167366027505
cifar-vs-oneclass,reject,AE-64d,64,C2ST,500,200,256,1.0,0.9811539940816791,1.0,0.6925199999999999,0.021852450663483923
cifar-vs-oneclass,reject,jpeg-scalar,1,KS,500,200,256,1.0,0.9811539940816791,1.0,0.26164000000000004,0.027218199793520508
cifar-vs-oneclass,reject,jpeg-scalar,1,C2ST,500,200,256,1.0,0.9811539940816791,1.0,0.61586,0.022201360318683194
cifar-vs-oneclass,reject,AE-scalar,1,KS,1000,200,256,1.0,0.9811539940816791,1.0,0.15476,0.018544875302897022
cifar-vs-oneclass,reject,AE-scalar,1,C2ST,1000,200,256,1.0,0.9811539940816791,1.0,0.5701550000000001,0.014025725471432816
cifar-vs-oneclass,reject,AE-64d,64,C2ST,1000,200,256,1.0,0.9811539940816791,1.0,0.7049150000000001,0.015271141902294002
cifar-vs-oneclass,reject,jpeg-scalar,1,KS,1000,200,256,1.0,0.9811539940816791,1.0,0.256175,0.018663986042643733
cifar-vs-oneclass,reject,jpeg-scalar,1,C2ST,1000,200,256,1.0,0.9811539940816791,1.0,0.6161599999999999,0.012954705708737668
cifar-vs-uniform,reject,AE-scalar,1,KS,250,200,256,1.0,0.9811539940816791,1.0,0.32702,0.02906130760994763
cifar-vs-uniform,reject,AE-scalar,1,C2ST,250,200,256,0.24,0.1860652685202468,0.3037346545572801,0.52074,0.0436074810095699
cifar-vs-uniform,reject,AE-64d,64,C2ST,250,200,256,1.0,0.9811539940816791,1.0,0.9854999999999999,0.008113568881817676
cifar-vs-uniform,reject,jpeg-scalar,1,KS,250,200,256,1.0,0.9811539940816791,1.0,1.0,0.0
cifar-vs-uniform,reject,jpeg-scalar,1,C2ST,250,200,256,1.0,0.9811539940816791,1.0,1.0,0.0
cifar-vs-uniform,reject,AE-scalar,1,KS,500,200,256,1.0,0.9811539940816791,1.0,0.31828999999999996,0.023321575847270706
cifar-vs-uniform,reject,AE-scalar,1,C2ST,500,200,256,0.38,0.3155889366123922,0.4489341048080049,0.52396,0.03625463280740822
cifar-vs-uniform,reject,AE-64d,64,C2ST,500,200,256,1.0,0.9811539940816791,1.0,0.9896300000000001,0.004931845496363409
cifar-vs-uniform,reject,jpeg-scalar,1,KS,500,200,256,1.0,0.9811539940816791,1.0,1.0,0.0
cifar-vs-uniform,reject,jpeg-scalar,1,C2ST,500,200,256,1.0,0.9811539940816791,1.0,1.0,0.0
cifar-vs-uniform,reject,AE-scalar,1,KS,1000,200,256,1.0,0.9811539940816791,1.0,0.312535,0.0152760850678438
cifar-vs-uniform,reject,AE-scalar,1,C2ST,1000,200,256,0.515,0.44610724474630287,0.5833273750761476,0.5224799999999999,0.026995362564707304
cifar-vs-uniform,reject,AE-64d,64,C2ST,1000,200,256,1.0,0.9811539940816791,1.0,0.9926550000000001,0.0030440064060379404
cifar-vs-uniform,reject,jpeg-scalar,1,KS,1000,200,256,1.0,0.9811539940816791,1.0,1.0,0.0
cifar-vs-uniform,reject,jpeg-scalar,1,C2ST,1000,200,256,1.0,0.9811539940816791,1.0,1.0,0.0
